question,answer,metadata_branch_name,metadata_address,metadata_timetable,metadata_phone,metadata_opening_time,metadata_closing_time
"is the khuvsgul erkhes market, express atm  branch open on sunday?",yes,"khuvsgul erkhes market, express atm ","khuvsgul province, murun, erkhes market branch",mon-sun 9am-23pm,1800-1888,09:00,23:00
is the xacbank huvsgul branch atm branch open on sunday?,yes,xacbank huvsgul branch atm,"huvsgul aimag, murun city, xacbank huvsgul branch",24 hour,1800-1888,00:00,23:59
is the khutul center atm branch open on sunday?,yes,khutul center atm,"11st khoroo, khuvisgal road, bayakhoshuu khutul center",mon-sun 10pm-11pm,1800-1888,10:00,23:00
where is the saruul market atm branch located?,"11rd khoroo, televiz, aldar trade",saruul market atm,"11rd khoroo, televiz, aldar trade",24 hour,1800-1888,00:00,23:59
"where is the sansar branch, express bank атм branch located?","3-р хороо, энхтайваны өргөн чөлөө, зүүн 4 зам, хас банк сансар салбар","sansar branch, express bank атм","3-р хороо, энхтайваны өргөн чөлөө, зүүн 4 зам, хас банк сансар салбар",mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at 2nd khoroo, ikh toiruu, old bumbugur?","2nd khoroo, ikh toiruu, old bumbugur","old bumbugur, express atm","2nd khoroo, ikh toiruu, old bumbugur",tue-sun 9am-8pm,1800-1888,09:00,20:00
"what are the opening hours for international shopping center, express atm  branch?","opening time: 09:00, closing time: 23:59","international shopping center, express atm ","selenge province, sukhbaatar, international shopping center",mon-sun 9am-7pm,1800-1888,09:00,23:59
"what is the name of the branch located at micro-region #10, amgalan, amgalan market?","micro-region #10, amgalan, amgalan market",amgalan market express atm,"micro-region #10, amgalan, amgalan market","monday closed
tue-sun  10:00-20:00",nan,10:00,20:00
where is the khusug trade auto onshilgoo atm branch located?,khusug trade auto onshilgoo,khusug trade auto onshilgoo atm,khusug trade auto onshilgoo,mon-sun: 10:00-18:00,1800-1888,10:00,18:00
"where is the bayan shopping center, express atm  branch located?","orkhon province, bayan-undur, byan shopping center","bayan shopping center, express atm ","orkhon province, bayan-undur, byan shopping center",mon-sun 10am-8pm,1800-1888,10:20,20:00
is the darkhan magnolia атм branch open on sunday?,yes,darkhan magnolia атм,"darkhan-uul province, darkhan, darkhan magnolia",mon-sun 24 hour,1800-1888,00:00,23:59
where is the hanjargalant branch branch located?,"1st floor, sergeegdeh center, bogdiin gol bag, uliastai soum
what3words: /// broadens.admit.thank",hanjargalant branch,"1st floor, sergeegdeh center, bogdiin gol bag, uliastai soum
what3words: /// broadens.admit.thank","monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the alag tarag market atm branch open on sunday?,yes,alag tarag market atm,"1st committee, nairamdal road, orbit, songinokhairan district, alag tarag market ",mon-sun 8am-8pm,1800-1888,08:00,20:00
what are the opening hours for nalaih branch branch?,"opening time: 08:30, closing time: 16:30",nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for ikh ord center branch?,"opening time: 09:00, closing time: 17:00",ikh ord center,"bayanzurkh district, micro-region #14, nam yanju str, ikh ord center, xacbank branch
 what3words: /// teacher.absorbing.posting","monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",1800-1888,09:00,17:00
where is the nalaih branch branch located?,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal",nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what are the opening hours for sansar branch, express bank атм branch?","opening time: 07:00, closing time: 23:59","sansar branch, express bank атм","3rd khoroo, enkhtaivan avenue, eastern 4 zam, xacbank sansar branch",mon-sun 24 hour,1800-1888,07:00,23:59
what are the opening hours for songinokhairkhan branch lobby crm-atm-2 branch?,"opening time: 00:00, closing time: 23:59",songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",mon-sun 24 hours,1800-1888,00:00,23:59
"what is the name of the branch located at  22 tovchoo, sansar suljee market?"," 22 tovchoo, sansar suljee market",bayanzurkh tovchoo sansar suljee market," 22 tovchoo, sansar suljee market",mon-sun: 08:00-22:00,nan,08:00,23:00
what are the opening hours for unur nomin hypermarket atm branch?,"opening time: 08:30, closing time: 22:30",unur nomin hypermarket atm,"micro-region # 12, district #1 , peace avenue, unur nomin hypermarket","mon-thu: 08:30-22:30
fri: 08:30-24:00
sat: 09:00-24:00
sun: 09:00-21:30 ",1800-1888,08:30,22:30
what are the opening hours for darkhan shine orchin center атм branch?,"opening time: 00:00, closing time: 23:59",darkhan shine orchin center атм,"darkhan-uul province, darkhan, shine orchin center ",mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at micro-region # 2, nalaikh tuv str, xacbank, nalaikh branch?","micro-region # 2, nalaikh tuv str, xacbank, nalaikh branch",nalaikh branch express atm,"micro-region # 2, nalaikh tuv str, xacbank, nalaikh branch",24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at chingeltei district, intersection of shadvilan camp, demchig mini market
?","chingeltei district, intersection of shadvilan camp, demchig mini market
",demchig khairkhan mini market atm,"chingeltei district, intersection of shadvilan camp, demchig mini market
",mon-sun 9am-12 pm,1800-1888,09:00,23:59
"what are the opening hours for e-mart chinggis, express atm branch?","opening time: 09:00, closing time: 22:00","e-mart chinggis, express atm","1st khoroo, 12th microdistrict, tokyo street, e-mart chinggis 2nd floor",mon-sun 9am-10pm,1800-1888,09:00,22:00
what are the opening hours for selenge branch branch?,"opening time: 08:30, closing time: 16:30",selenge branch,"xacbank building, 6th bag, suhbaatar soum
what3words: /// purses.purified.gender","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what are the opening hours for narantuul branch branch?,"opening time: 09:00, closing time: 17:00",narantuul branch,"baylag undraa shopping center, narantuul international commercial center, 14th khoroo, bayanzurkh district
what3words: /// sulked.dusters.continues","monday-saturday: 9:00am-05:00pm
tuesday, sunday: сlosed",1800-1888,09:00,17:00
what are the opening hours for nalaih branch branch?,"opening time: 08:30, closing time: 16:30",nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the altjin bumbugur, express atm branch open on sunday?",yes,"altjin bumbugur, express atm","2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, 1st floor ","mon-sun 10am-12pm
wednesday closed",1800-1888,10:00,19:59
is the suhbaatar branch branch open on sunday?,yes,suhbaatar branch,"1st floor orient center, 11th horoolol, 7 th horoo, sukhbaatar district
what3words: /// resold.truckload.magic","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at 19th khoroo, 4th microdistrict, tavan-erdene market ?","19th khoroo, 4th microdistrict, tavan-erdene market ",tavan-erdene market атм,"19th khoroo, 4th microdistrict, tavan-erdene market ",mon-sun 9am-8pm,1800-1888,09:00,20:00
"is the western region shopping center, express atm  branch open on sunday?",yes,"western region shopping center, express atm ","zavkhan province, uliastai, bogdiin gol, western region shopping center ",mon-sat 9am-8pm,1800-1888,09:00,20:00
is the dako center atm branch open on sunday?,yes,dako center atm,"bayangol district, 14th khoroo, north east in the urgoo movie teatre, dako center ",mon-sun 24 hour,1800-1888,07:00,23:59
what are the opening hours for uvs branch branch?,"opening time: 08:30, closing time: 16:30",uvs branch,"xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch?","bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch","xacbank bayanmongol branch, express bank атм","bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch",mon-sun 24 hour,1800-1888,07:00,23:59
"what is the name of the branch located at micro-region #10, shinechlel suun?","micro-region #10, shinechlel suun",denjiin 1000 suun atm,"micro-region #10, shinechlel suun",09-22 hour,1800-1888,09:00,21:59
what are the opening hours for ulaanbaatar department store atm branch?,"opening time: 09:00, closing time: 20:00",ulaanbaatar department store atm,"micro-region #4, peace avenue, ulaanbaatar department store",mon-sun: 9:00-20:00,1800-1888,09:00,20:00
where is the amgalan market express atm branch located?,"micro-region #10, amgalan, amgalan market",amgalan market express atm,"micro-region #10, amgalan, amgalan market","monday closed
tue-sun  10:00-20:00",nan,10:00,20:00
"is the esun-erdene market, express atm  branch open on sunday?",yes,"esun-erdene market, express atm ","orkhon province, bayan-undur, oyut, esun erdene market ",mon-sun 9:30am-7:30pm,1800-1888,09:30,19:30
"is the bayangol branch, express bank crm-2 branch open on sunday?",yes,"bayangol branch, express bank crm-2","13rd khoroo, 4th microdistrict, ard ayush avenue, bayangol branch xac bank ",mon-sun 24 hours,18001888,00:00,23:59
where is the zamiin-uud lobby cash branch located?,"dornogovi province, zamiin-uud, central square, xacbank",zamiin-uud lobby cash,"dornogovi province, zamiin-uud, central square, xacbank",24/7,1800-1888,00:00,23:59
is the amar shopping center branch open on sunday?,yes,amar shopping center,"bayanlkhongor province, bayankhongor, amar shopping center ",mon-sun 9:30am-10:30pm,1800-1888,08:30,18:30
"what are the opening hours for information communication center, express atm  branch?","opening time: 09:00, closing time: 21:00","information communication center, express atm ","tuv province, zuunmod, information communication center",mon-sun 9am-9pm,1800-1888,09:00,21:00
where is the dornogovi branch branch located?,"xacbank building, 2nd bag, sainshand soum
what3words: /// denies.undeniably.overland",dornogovi branch,"xacbank building, 2nd bag, sainshand soum
what3words: /// denies.undeniably.overland","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what are the opening hours for xacbank bayanmongol branch, express bank атм branch?","opening time: 07:00, closing time: 23:59","xacbank bayanmongol branch, express bank атм","bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch",mon-sun 24 hour,1800-1888,07:00,23:59
is the ikh ord lobby crm branch open on sunday?,yes,ikh ord lobby crm,"14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch",mon-sun 24 hours,1800-1888,00:00,23:59
"is the sutain buyant zakh,express bank атм branch open on sunday?",yes,"sutain buyant zakh,express bank атм","18th khoroo, moscow road, sutain buyant zakh",mon-sun 9-18 hour,1800-1888,09:00,17:59
where is the songinokhairkhan branch lobby crm-atm-2 branch located?,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",mon-sun 24 hours,1800-1888,00:00,23:59
"where is the esun-erdene market, express atm  branch located?","orkhon province, bayan-undur, oyut, esun erdene market ","esun-erdene market, express atm ","orkhon province, bayan-undur, oyut, esun erdene market ",mon-sun 9:30am-7:30pm,1800-1888,09:30,19:30
what are the opening hours for khutul center atm branch?,"opening time: 10:00, closing time: 23:00",khutul center atm,"11st khoroo, khuvisgal road, bayakhoshuu khutul center",mon-sun 10pm-11pm,1800-1888,10:00,23:00
is the nisdeg mashin auto market branch open on sunday?,yes,nisdeg mashin auto market,"5th khoroo, ikh toiruu, nisdeg mashin autom market ",mon-sun 10am-7pm,1800-1888,10:00,19:00
where is the altjin bumbugur atm branch located?,"2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, b1 floor ",altjin bumbugur atm,"2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, b1 floor ","mon-sun 10am12pm
wednesday closed",1800-1888,10:00,23:59
what are the opening hours for e-mart solo atm branch?,"opening time: 09:00, closing time: 22:00",e-mart solo atm,"13rd khoroo, ard ayush avenue, e-mart ","mon-sun 9am-10pm
",1800-1888,09:00,22:00
what are the opening hours for erdenet branch branch?,"opening time: 08:30, closing time: 16:30",erdenet branch,"xacbank building, oyut bag, erdenet hot, bayan-undur soum
what3words: /// rinses.reputable.because","monday - friday: 08:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the ubm center, express atm branch open on sunday?",yes,"ubm center, express atm","khuvsgul province, murun, ubm shopping center",mon-sun 9am-5pm,1800-1888,00:00,23:59
"what are the opening hours for khuchirshonkhor branch, express bank  atm branch?","opening time: 06:00, closing time: 17:00","khuchirshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",mon-sun 6am-5pm,1800-1888,06:00,17:00
where is the grand branch branch located?,"b1 floor, grand plaza shopping center, 2nd khoroo, enkhtaivan avenue, bayangol district 
what3words: /// wept.skies.logbook",grand branch,"b1 floor, grand plaza shopping center, 2nd khoroo, enkhtaivan avenue, bayangol district 
what3words: /// wept.skies.logbook","monday - friday: 08:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"is the 7th station buren, express atm branch open on sunday?",yes,"7th station buren, express atm","14th khoroo, chingeltei avenue , 7th station, khusel center",mon-sun 8am-11pm,1800-1888,08:00,23:00
