Question,Answer,branch_name,address,phone,timetable,open_time,close_time,question,answer,metadata
can i visit tumbaash branch lobby atm on sunday?,closed,tumbaash branch lobby atm,"15th khoroo, 3rd microdistrict, ard ayush avanue, discovery llc building, xacbank",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what are the weekly opening hours of xacbank bayanmongol branch, express bank атм?",mon-sun 24 hour,"xacbank bayanmongol branch, express bank атм","bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
"what time does unur branch, express bank атм close?",23:59,"unur branch, express bank атм","17th khoroo, 1st microdistrict, unur branch xac bank ",1800-1888,mon-sun 6am-12pm,06:00,23:59,,,
what are the opening hours of dornod narlag delguur атм on monday?,closed,dornod narlag delguur атм,"dornod province, kherlen, chita street, narlag delguur dornod ",1800-1888,mon-sun 9:30am-10pm,09:30,22:00,,,
what are the opening hours of railway station atm on monday?,closed,railway station atm,"сэлэнгэ аймаг, мандал сум, 1-р баг, төмөр замын өртөө ",1800-1888,24 hour,00:00,23:59,,,
what time does bayalag mini market atm close?,23:59,bayalag mini market atm,"2nd khoroo, tolgoit street, tolgoit old terminal, bayalag mini market ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
can i visit asait-minii delguur атм on sunday?,closed,asait-minii delguur атм,"22th khoroo, b. dorj street, asait shopping center, minii delguur",1800-1888,"mon-sun 8am-11pm
",09:00,23:00,,,
what time does ulaanbaatar suvilal atm close?,23:59,ulaanbaatar suvilal atm,"micro-region #11, ulaanbaatar suvilal",1800-1888,24 hour,00:00,23:59,,,
can i visit gandan momi on sunday?,closed,gandan momi,bgd orkhon 2-130,,mon-sun,09:00,23:00,,,
can i visit hutul branch on sunday?,closed,hutul branch,"15th building, central street, sayhan soum
what3words: /// cashews.pantomimed.kidneys",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does bayanzurkh 05 branch lobby crm-atm-2 close?,23:59,bayanzurkh 05 branch lobby crm-atm-2,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hours,00:00,23:59,,,
what are the opening hours of dornogovi branch on monday?,8:30am - 04:30pm,dornogovi branch,"xacbank building, 2nd bag, sainshand soum
what3words: /// denies.undeniably.overland",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of shine darhan branch?,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",shine darhan branch,"2nd floor, tedy center, 15th bag, darkhan soum
what3words: /// shuttling.scars.insulated",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does bayankhongor branch open?,08:30,bayankhongor branch,"1st floor of building 436, 4th street, nomgon lubsandanzanjantsan avenue, 1st bag, bayankhongor soum
 what3words: /// corroding.frighten.redwoods",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit saruul market atm on sunday?,closed,saruul market atm,"11rd khoroo, televiz, aldar trade",1800-1888,24 hour,00:00,23:59,,,
what is the address of az market atm?,"18th committee, chingeltei road, chingeltei district, az  market",az market atm,"18th committee, chingeltei road, chingeltei district, az  market",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
can i visit bidnii supermarket atm on sunday?,closed,bidnii supermarket atm,"songinokhairkhan, 1st district, 30th khoroo, bidnii supermarket",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
can i visit ikh toiruu khudaldaanii tuv атм on sunday?,closed,ikh toiruu khudaldaanii tuv атм,"9st khoroo, ikh toiruu, market",1800-1888,mon-sun 9am-12pm,09:00,20:00,,,
"what time does selenge branch, express atm  close?",23:59,"selenge branch, express atm ","selenge province, sukhbaatar, xac bank selenge branch",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what are the weekly opening hours of international shopping center, express atm ?",mon-sun 9am-7pm,"international shopping center, express atm ","selenge province, sukhbaatar, international shopping center",1800-1888,mon-sun 9am-7pm,09:00,23:59,,,
"can i visit altai tavan bogd center, express atm  on sunday?",closed,"altai tavan bogd center, express atm ","bayan-ulgii province, ulgii, altai tavan bogd center ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
"what are the weekly opening hours of anduud supermarket, express atm?",mon-sun 9am-10pm,"anduud supermarket, express atm","15th khoroo, khan-uul district, khunnu 2222, anduud supermarket
",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what is the address of ekh undarga market atm?,"9th khoroo, ekh undarga market",ekh undarga market atm,"9th khoroo, ekh undarga market",1800-1888,mon-sun 08am-11pm,08:00,23:00,,,
what time does baruun-urt branch open?,08:30,baruun-urt branch,"mongolbank building, 7th bag, baruun-urt soum
what3words: /// slice.wages.rainwater",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the phone number of herlen branch?,1800-1888,herlen branch,"1st floor of tana center, 6th bag, kherlen soum
what3words: /// piglets.costumed.gradually",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does asait-minii delguur атм open?,09:00,asait-minii delguur атм,"22th khoroo, b. dorj street, asait shopping center, minii delguur",1800-1888,"mon-sun 8am-11pm
",09:00,23:00,,,
what are the weekly opening hours of bulgan branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",bulgan branch,"xacbank building, 1-119, khanddorj avenue, 6th bag, bulgan soum
what3words: /// lugging.motherhood.votes",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is nisdeg mashin auto market open on saturday?,closed,nisdeg mashin auto market,"5th khoroo, ikh toiruu, nisdeg mashin autom market ",1800-1888,mon-sun 10am-7pm,10:00,19:00,,,
what is the phone number of bor-undur branch атм?,1800-1888,bor-undur branch атм,"khentii province, bor-undur, bor-undur branch xac bank ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
can i visit 100 ail 2th hospital атм on sunday?,closed,100 ail 2th hospital атм,10-r khoroo 100 ail 2th hospital,1800-1888,mon-sun 24/7,00:00,23:59,,,
"what time does well mart supermarket, express atm close?",22:00,"well mart supermarket, express atm","khan-uul district, 11st khoroo, buyant ukhaa, well mart ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what is the address of amar shopping center?,"bayanlkhongor province, bayankhongor, amar shopping center ",amar shopping center,"bayanlkhongor province, bayankhongor, amar shopping center ",1800-1888,mon-sun 9:30am-10:30pm,08:30,18:30,,,
what time does circus atut атм open?,08:30,circus atut атм,"2th khoroo, 220k, circus atut, 1st floor ",1800-1888,08:30-17:30 hour,08:30,17:30,,,
what time does nalaih branch close?,16:30,nalaih branch,"xacbank building, 2nd horoo, damdin street, nalaikh district
what3words: /// psychotics.martyr.canal",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does baruun salaa ulziit khairkhan atm close on weekdays?,22:00,baruun salaa ulziit khairkhan atm," district #24, bayankhoshuu, baruun salaa ",1800-1888,mon-sun: 08:00-22:00,08:00,22:00,,,
what is the address of xacbank central branch atm?,"micro-region #1, peace avenue, chingunjav str. xacbank central branch",xacbank central branch atm,"micro-region #1, peace avenue, chingunjav str. xacbank central branch",1800-1888,24 hour,00:00,23:59,,,
what are the opening hours of norjin minii delguur atm on monday?,closed,norjin minii delguur atm,"micro-region #4, district #15, peace avenue, norjin minii delguur",,mon-sun: 08:30-20:30,08:30,20:30,,,
what time does belkhi uugan center atm close on weekdays?,23:59,belkhi uugan center atm,"micro-region #18, belkhi uugan tuv supermarket",,mon-sun: 08-24,08:00,23:59,,,
can i visit khailaast 84 shopping center атм on sunday?,closed,khailaast 84 shopping center атм,"15th khotoo, khailaast old bus station, 84 shoppng center ",1800-1888,mon-sun 9pm-11pm,09:00,23:00,,,
what is the phone number of dulguun supermarket атм?,1800-1888,dulguun supermarket атм,"umnugovi province, khanbogd, dulguun supermarket ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
is khotkhoit supermarket  atm open on saturday?,closed,khotkhoit supermarket  atm,"22nd khoroo, takhilt last bus station, khotkhoit supermarket",1800-1888,mon-sun 8pm-11pm,08:00,23:00,,,
what time does hanbogd branch close on weekdays?,16:30,hanbogd branch,"ikh ulziit center 2nd floor, tsag uur-2 street, #8, khanbogd soum
what3words: /// sharpens.ladles.worthier",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of darkhan shine orchin center атм?,mon-sun 24 hour,darkhan shine orchin center атм,"darkhan-uul province, darkhan, shine orchin center ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"what time does sansar market, express atm close?",20:00,"sansar market, express atm","7th khoroo, b. dorj street, computer information technology university, sansar market",1800-1888,"mon-sun 10am-8pm
wednesday closed",10:00,20:00,,,
"what time does sansar branch, express bank атм open?",07:00,"sansar branch, express bank атм","3rd khoroo, enkhtaivan avenue, eastern 4 zam, xacbank sansar branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what time does dragon center bus terminal atm close on weekdays?,23:59,dragon center bus terminal atm,"micro-region # 18, peace avenue, dragon center, ",1800-1888,mon-sun: 09:00-24:00,00:00,23:59,,,
what is the address of zuunmod branch?,"xacbank building, 1st bag, zuunmod soum, 
what3words: /// pretends.unsteady.median",zuunmod branch,"xacbank building, 1st bag, zuunmod soum, 
what3words: /// pretends.unsteady.median",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is ard branch open on saturday?,closed,ard branch,"2nd floor of flower center, 1st horoo, baga toiruu, chingeltei district
what3words: ///butlers.verse.gazes",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does city shop atm close on weekdays?,23:00,city shop atm,"micro-region #13, peace avenue, offitser city shop market",,mon-sun 09:00-23:00,09:00,23:00,,,
"what are the opening hours of well mart supermarket, express atm on monday?",closed,"well mart supermarket, express atm","khan-uul district, 11st khoroo, buyant ukhaa, well mart ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what are the opening hours of automobile purchase loan center 1 on monday?,8:30am - 4:30pm,automobile purchase loan center 1,"301-304, block b, autocom shopping center, 32nd khoroo, songinokhairkhan district
///possessors.showered.trustees",1800-1888,"monday - sunday: 8:30am-4:30pm
tuesday: сlosed",08:30,16:30,,,
what are the opening hours of khuchitshonkhor market  atm on monday?,closed,khuchitshonkhor market  atm,"11st khoroo, sambalkhundev road, khuchitshonkhor market",1800-1888,mon-sun 6am-5pm,06:00,17:00,,,
what time does depot station atm for employee close?,21:00,depot station atm for employee,"3-р хороо, нарны зам, саруул зах замын урд, зүтгүүрийн депо ",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what time does 21 trade center atm open?,10:00,21 trade center atm,"micro-region # 19, uildverchidiin evlel str, district #21, 21 trade center",1800-1888,"wednesday: closed
mon-sun: 10:00-22:00 ",10:00,22:00,,,
"what is the address of tedy center, express atm ?","5th khoroo, west selbe street, tedy center, 3nd floor ","tedy center, express atm ","5th khoroo, west selbe street, tedy center, 3nd floor ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
"can i visit 7th station buren, express atm on sunday?",closed,"7th station buren, express atm","14th khoroo, chingeltei avenue , 7th station, khusel center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what time does gandan momi open?,09:00,gandan momi,bgd orkhon 2-130,,mon-sun,09:00,23:00,,,
"what time does mergen 2 supermarket, express atm  open?",07:30,"mergen 2 supermarket, express atm ","bayanlkhongor province, bayankhongor, mergen 2 supermarket",1800-1888,mon-sun 7:30am-11pm,07:30,23:00,,,
what time does khangai town nomin supermarket atm close?,22:30,khangai town nomin supermarket atm,"10th khoroo, infront of khangai town, azjargal town, nomin supermarket ",1800-1888,mon-sun 8:30am-10:30pm,08:30,22:30,,,
what is the address of yarmag ulziit supermarket атм?,"khan-uul district, 6th khoroo, yarmag ulziit supermarket",yarmag ulziit supermarket атм,"khan-uul district, 6th khoroo, yarmag ulziit supermarket",1800-1888,mon-sun 8am-10pm,08:00,21:59,,,
"what time does international shopping center, express atm  close?",20:00,"international shopping center, express atm ","darkhan-uul province, darkhan, international shopping center",1800-1888,"mon-sun 9am-8pm
wed closed",09:00,20:00,,,
is tushig branch open on saturday?,closed,tushig branch,"1st floor, tushig center, seoul street, 4th horoo, sukhbaatar district
what3words: /// joys.ally.reduction",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"is uguuj market, express atm  open on saturday?",closed,"uguuj market, express atm ","10th khoroo, end of the bayankhoshuu bus station, uguuj market ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what are the weekly opening hours of tumbaash center  атм?,mon-sun 8am-8pm,tumbaash center  атм,"7th khoroo, bayankhoshuu old bus station, tumbaash center",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what is the phone number of khutul center atm?,1800-1888,khutul center atm,"11st khoroo, khuvisgal road, bayakhoshuu khutul center",1800-1888,mon-sun 10pm-11pm,10:00,23:00,,,
can i visit shine orchin branch on sunday?,closed,shine orchin branch," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does misheel center walking street атм open?,08:00,misheel center walking street атм,19th misheel center walking street,1800-1888,mon-sun 8am-10pm,08:00,21:00,,,
"what are the opening hours of erdenes plaza, express atm  on monday?",closed,"erdenes plaza, express atm ","darkhan-uul province, darkhan, erdenes plaza ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
"what are the weekly opening hours of uvurkhangai, express atm ?",mon-sun 9am-5:30pm,"uvurkhangai, express atm ","uvurkhangai province, arvaikheer, xac bank uvurkhangai branch ",1800-1888,mon-sun 9am-5:30pm,09:00,17:30,,,
"what are the weekly opening hours of uguuj market, express atm ?",mon-sun 10am-8pm,"uguuj market, express atm ","10th khoroo, end of the bayankhoshuu bus station, uguuj market ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
"what are the weekly opening hours of khuvsgul erkhes market, express atm ?",mon-sun 9am-23pm,"khuvsgul erkhes market, express atm ","khuvsgul province, murun, erkhes market branch",1800-1888,mon-sun 9am-23pm,09:00,23:00,,,
"what is the address of dornod branch, express атм?","dornod province, kherlen, chit street, xacbank ","dornod branch, express атм","dornod province, kherlen, chit street, xacbank ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"is tsogttsetsii branch, express atm open on saturday?",closed,"tsogttsetsii branch, express atm",crm umnugovi tsogttsetsii branch атм,1800-1888,mon-sun 24 hour,00:00,23:59,,,
what are the opening hours of suhbaatar branch on monday?,8:30am - 04:30pm,suhbaatar branch,"1st floor orient center, 11th horoolol, 7 th horoo, sukhbaatar district
what3words: /// resold.truckload.magic",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
